Symbol,DateTime,Open,High,Low,Close,Volume,RSI_RSI,MACD_MACD,MACD_MACD_Signal,MACD_MACD_Hist
AAPL,2021-06-30 19:59:00,134.4861,134.4959,134.4763,134.4959,1497,,,,
AAPL,2021-06-30 19:58:00,134.4665,134.4763,134.4665,134.4763,1351,,,,
AAPL,2021-06-30 19:57:00,134.4763,134.4763,134.4763,134.4763,100,,,,
AAPL,2021-06-30 19:56:00,134.4567,134.4567,134.4567,134.4567,100,,,,
AAPL,2021-06-30 19:55:00,134.4469,134.4469,134.4469,134.4469,595,,,,
AAPL,2021-06-30 19:54:00,134.4469,134.4469,134.4273,134.4273,1300,,,,
AAPL,2021-06-30 19:53:00,134.4518,134.4518,134.4420,134.4469,8183,,,,
AAPL,2021-06-30 19:52:00,134.4518,134.4518,134.4518,134.4518,100,,,,
AAPL,2021-06-30 19:49:00,134.4076,134.4763,134.4076,134.4763,1146,,,,
AAPL,2021-06-30 19:48:00,134.4763,134.4763,134.4763,134.4763,1000,,,,
AAPL,2021-06-30 19:44:00,134.4371,134.4371,134.4371,134.4371,100,,,,
AAPL,2021-06-30 19:43:00,134.4763,134.4763,134.4763,134.4763,200,,,,
AAPL,2021-06-30 19:42:00,134.4567,134.4567,134.4174,134.4174,582,,,,
AAPL,2021-06-30 19:41:00,134.4959,134.4959,134.4763,134.4763,6098,,,,
AAPL,2021-06-30 19:40:00,134.5254,134.5254,134.4959,134.4959,3208,,,,
AAPL,2021-06-30 19:39:00,134.4959,134.4959,134.4959,134.4959,548,,,,
AAPL,2021-06-30 19:34:00,134.4959,134.4959,134.4959,134.4959,272,,,,
AAPL,2021-06-30 19:33:00,134.5155,134.5155,134.5155,134.5155,350,,,,
AAPL,2021-06-30 19:32:00,134.5450,134.5450,134.5057,134.5057,851,,,,
AAPL,2021-06-30 19:31:00,134.4861,134.5744,134.4861,134.5744,647,,,,
AAPL,2021-06-30 19:30:00,134.4959,134.5744,134.4861,134.4861,1848,,,,
AAPL,2021-06-30 19:29:00,134.5842,134.5940,134.4959,134.4959,935,,,,
AAPL,2021-06-30 19:24:00,134.4861,134.4861,134.4861,134.4861,100,,,,
AAPL,2021-06-30 19:22:00,134.5155,134.5450,134.4959,134.4959,800,,,,
AAPL,2021-06-30 19:20:00,134.4959,134.4959,134.4763,134.4763,3400,,,,
AAPL,2021-06-30 19:19:00,134.4959,134.4959,134.4959,134.4959,200,,,,
AAPL,2021-06-30 19:18:00,134.4959,134.4959,134.4861,134.4861,737,,,,
AAPL,2021-06-30 19:17:00,134.4959,134.4959,134.4959,134.4959,400,,,,
AAPL,2021-06-30 19:16:00,134.4959,134.4959,134.4959,134.4959,100,,,,
AAPL,2021-06-30 19:15:00,134.4763,134.4959,134.4763,134.4959,2333,,,,
AAPL,2021-06-30 19:13:00,134.4763,134.4763,134.4763,134.4763,100,,,,
AAPL,2021-06-30 19:12:00,134.4763,134.4763,134.4763,134.4763,100,,,,
AAPL,2021-06-30 19:10:00,134.4959,134.4959,134.4959,134.4959,200,,,,
AAPL,2021-06-30 19:09:00,134.4763,134.4763,134.4763,134.4763,2841,,,,
AAPL,2021-06-30 19:08:00,134.4959,134.4959,134.4959,134.4959,140,,,,
AAPL,2021-06-30 19:07:00,134.4763,134.4763,134.4763,134.4763,100,,,,
AAPL,2021-06-30 19:04:00,134.4959,134.4959,134.4763,134.4763,1390,,,,
AAPL,2021-06-30 19:01:00,134.4959,134.4959,134.4959,134.4959,140,,,,
AAPL,2021-06-30 19:00:00,134.4763,134.4959,134.4763,134.4959,1300,,,,
AAPL,2021-06-30 18:56:00,134.4763,134.4763,134.4763,134.4763,521,,,,
AAPL,2021-06-30 18:54:00,134.4763,134.4763,134.4763,134.4763,475,,,,
