Symbol,DateTime,Open,High,Low,Close,Volume
AAPL,2025-01-15 19:59:00,238.5850,238.6000,238.4800,238.5000,375
AAPL,2025-01-15 19:58:00,238.5150,238.5995,238.4600,238.5850,644
AAPL,2025-01-15 19:57:00,238.4500,238.5700,238.4500,238.5150,168
AAPL,2025-01-15 19:56:00,238.5100,238.5670,238.4500,238.5000,64
AAPL,2025-01-15 19:55:00,238.6000,238.6000,238.4501,238.5100,848
AAPL,2025-01-15 19:54:00,238.5600,238.6900,238.4300,238.5200,344
AAPL,2025-01-15 19:53:00,238.5500,238.5600,238.4303,238.5600,5151
AAPL,2025-01-15 19:52:00,238.4900,238.6000,238.4300,238.5150,1841
AAPL,2025-01-15 19:51:00,238.3200,238.5100,238.3200,238.4500,87
AAPL,2025-01-15 19:50:00,238.4100,238.4900,238.4000,238.4100,49
AAPL,2025-01-15 19:49:00,238.4450,238.4600,238.3100,238.4600,11
AAPL,2025-01-15 19:48:00,238.4000,238.5300,238.3100,238.4200,219
AAPL,2025-01-15 19:47:00,238.5000,238.5300,238.3100,238.4400,242
AAPL,2025-01-15 19:46:00,238.5400,238.5700,238.3000,238.4750,3206
AAPL,2025-01-15 19:45:00,238.5100,238.5800,238.4400,238.5400,64
AAPL,2025-01-15 19:44:00,238.6400,238.6400,238.4400,238.5100,66
AAPL,2025-01-15 19:43:00,238.5400,238.6400,238.4400,238.5300,241
AAPL,2025-01-15 19:42:00,238.5300,238.6400,238.4400,238.5400,172
AAPL,2025-01-15 19:41:00,238.5200,238.6200,238.4400,238.5300,282
AAPL,2025-01-15 19:40:00,238.5450,238.6400,238.4400,238.6233,320
AAPL,2025-01-15 19:39:00,238.6400,238.6400,238.4500,238.4547,59
AAPL,2025-01-15 19:38:00,238.6000,238.6500,238.4400,238.6400,43
AAPL,2025-01-15 19:37:00,238.5000,238.6000,238.4400,238.5500,287
AAPL,2025-01-15 19:36:00,238.5200,238.5800,238.4400,238.5000,659
AAPL,2025-01-15 19:35:00,238.5800,238.7100,238.5200,238.5750,47
AAPL,2025-01-15 19:34:00,238.6000,238.7032,238.4400,238.6000,169
AAPL,2025-01-15 19:33:00,238.6000,238.7100,238.4400,238.5750,199
AAPL,2025-01-15 19:32:00,238.6100,238.7800,238.4400,238.6000,126
AAPL,2025-01-15 19:31:00,238.5400,238.7400,238.4490,238.5200,5345
AAPL,2025-01-15 19:30:00,238.6400,238.6700,238.5300,238.5400,512
AAPL,2025-01-15 19:29:00,238.5100,238.6400,238.4200,238.4200,218
AAPL,2025-01-15 19:28:00,238.5300,238.7000,238.4200,238.5600,500
AAPL,2025-01-15 19:27:00,238.4700,238.5300,238.4417,238.5300,773
AAPL,2025-01-15 19:26:00,238.4700,238.5000,238.4600,238.4984,3027
AAPL,2025-01-15 19:25:00,238.4600,238.4700,238.4200,238.4600,302
AAPL,2025-01-15 19:24:00,238.4700,238.4700,238.4200,238.4450,153
AAPL,2025-01-15 19:23:00,238.4500,238.4700,238.4450,238.4700,619
AAPL,2025-01-15 19:22:00,238.4400,238.4700,238.4100,238.4450,255
AAPL,2025-01-15 19:21:00,238.4400,238.4700,238.4400,238.4400,33
AAPL,2025-01-15 19:20:00,238.4400,238.4600,238.4317,238.4600,118
AAPL,2025-01-15 19:19:00,238.4400,238.4500,238.4100,238.4400,21
AAPL,2025-01-15 19:18:00,238.4400,238.4700,238.4100,238.4400,114
AAPL,2025-01-15 19:17:00,238.4450,238.4800,238.4100,238.4450,173
AAPL,2025-01-15 19:16:00,238.4450,238.4800,238.4450,238.4450,27
AAPL,2025-01-15 19:15:00,238.4450,238.4700,238.4100,238.4700,321
AAPL,2025-01-15 19:14:00,238.4800,238.4800,238.4100,238.4700,694
AAPL,2025-01-15 19:13:00,238.4700,238.4800,238.4600,238.4799,402
AAPL,2025-01-15 19:12:00,238.4117,238.4800,238.4117,238.4650,192
AAPL,2025-01-15 19:11:00,238.4250,238.4800,238.4100,238.4100,130
AAPL,2025-01-15 19:10:00,238.4700,238.4800,238.3700,238.4250,33
AAPL,2025-01-15 19:09:00,238.3800,238.4800,238.3800,238.4700,1211
AAPL,2025-01-15 19:08:00,238.3900,238.4393,238.3200,238.4300,110
AAPL,2025-01-15 19:07:00,238.3400,238.4500,238.3400,238.4400,151
AAPL,2025-01-15 19:06:00,238.3800,238.4500,238.3800,238.4400,34
AAPL,2025-01-15 19:05:00,238.4495,238.4495,238.3100,238.3800,225
AAPL,2025-01-15 19:04:00,238.4200,238.4500,238.3100,238.3100,755
AAPL,2025-01-15 19:03:00,238.4000,238.4500,238.3300,238.4200,40
AAPL,2025-01-15 19:02:00,238.4500,238.4500,238.3100,238.4100,73
AAPL,2025-01-15 19:01:00,238.3800,238.4500,238.3100,238.3800,157
AAPL,2025-01-15 19:00:00,238.3450,238.4500,238.3450,238.3800,644
AAPL,2025-01-15 18:59:00,238.4000,238.4100,238.2700,238.3450,165
AAPL,2025-01-15 18:58:00,238.3400,238.4100,238.2735,238.4100,338
AAPL,2025-01-15 18:57:00,238.4050,238.4400,238.2936,238.3400,523
AAPL,2025-01-15 18:56:00,238.4500,238.4500,238.2700,238.4050,25
AAPL,2025-01-15 18:55:00,238.3350,238.4500,238.2300,238.3550,144
AAPL,2025-01-15 18:54:00,238.4500,238.4543,238.2300,238.3350,672
AAPL,2025-01-15 18:53:00,238.3900,238.4600,238.2700,238.3200,56
AAPL,2025-01-15 18:52:00,238.4500,238.4600,238.3400,238.3800,62
AAPL,2025-01-15 18:51:00,238.3920,238.4600,238.3400,238.4000,58
AAPL,2025-01-15 18:50:00,238.4570,238.4600,238.3400,238.3400,49
AAPL,2025-01-15 18:49:00,238.4400,238.4700,238.3400,238.4570,19
AAPL,2025-01-15 18:48:00,238.3850,238.4700,238.3600,238.4400,129
AAPL,2025-01-15 18:47:00,238.4400,238.4700,238.1500,238.1500,356
AAPL,2025-01-15 18:46:00,238.4500,238.4800,238.2752,238.2752,914
AAPL,2025-01-15 18:45:00,238.3750,238.4500,238.3750,238.4300,22
AAPL,2025-01-15 18:44:00,238.3750,238.4800,238.2700,238.4400,48
AAPL,2025-01-15 18:43:00,238.4800,238.4800,238.2700,238.3750,42
AAPL,2025-01-15 18:42:00,238.2700,238.4800,238.2700,238.3750,32
AAPL,2025-01-15 18:41:00,238.3650,238.4800,238.3600,238.3750,42
AAPL,2025-01-15 18:40:00,238.3600,238.4800,238.3400,238.3650,208
AAPL,2025-01-15 18:39:00,238.4000,238.4500,238.3250,238.4500,62
AAPL,2025-01-15 18:38:00,238.3900,238.4800,238.2000,238.4700,112
AAPL,2025-01-15 18:37:00,238.2070,238.4800,238.2070,238.3400,79
AAPL,2025-01-15 18:36:00,238.3400,238.4800,238.2000,238.3400,24
AAPL,2025-01-15 18:35:00,238.0500,238.4800,238.0500,238.3900,102
AAPL,2025-01-15 18:34:00,238.4400,238.4800,238.2350,238.3200,4246
AAPL,2025-01-15 18:33:00,238.4488,238.4500,238.2300,238.4500,825
AAPL,2025-01-15 18:32:00,238.4100,238.4450,238.4100,238.4300,187
AAPL,2025-01-15 18:31:00,238.3700,238.4400,238.3100,238.4400,410
AAPL,2025-01-15 18:30:00,238.3000,238.3700,238.2500,238.3700,361
AAPL,2025-01-15 18:29:00,238.2500,238.4000,238.2500,238.3484,121
AAPL,2025-01-15 18:28:00,238.3050,238.3600,238.2500,238.3250,731
AAPL,2025-01-15 18:27:00,238.2600,238.3600,238.2500,238.3050,1417
AAPL,2025-01-15 18:26:00,238.3500,238.3500,238.2500,238.3000,50
AAPL,2025-01-15 18:25:00,238.3000,238.3000,238.2500,238.3000,237
AAPL,2025-01-15 18:24:00,238.3000,238.3000,238.2500,238.3000,69
AAPL,2025-01-15 18:23:00,238.3475,238.3500,238.2500,238.3000,415
AAPL,2025-01-15 18:22:00,238.3000,238.3500,238.2500,238.3500,120
AAPL,2025-01-15 18:21:00,238.2700,238.3200,238.2500,238.2900,194
AAPL,2025-01-15 18:20:00,238.3300,238.3300,238.2000,238.3300,162
AAPL,2025-01-15 18:19:00,238.2750,238.3300,238.2000,238.3300,20
AAPL,2025-01-15 18:18:00,238.3100,238.3500,238.2000,238.2037,43
AAPL,2025-01-15 18:17:00,238.0100,238.3100,238.0100,238.2750,103
AAPL,2025-01-15 18:16:00,238.0100,238.3100,238.0100,238.1600,454
AAPL,2025-01-15 18:15:00,238.1550,238.3100,238.1100,238.1120,151
AAPL,2025-01-15 18:14:00,238.2500,238.2700,238.0000,238.1550,293
AAPL,2025-01-15 18:13:00,238.3100,238.3100,238.0000,238.1550,106
AAPL,2025-01-15 18:12:00,238.1550,238.2800,238.0000,238.1550,19
AAPL,2025-01-15 18:11:00,238.0000,238.1600,238.0000,238.1550,89
AAPL,2025-01-15 18:10:00,238.2680,238.3100,238.1550,238.1550,32
AAPL,2025-01-15 18:09:00,238.1550,238.3100,238.1550,238.1700,32
AAPL,2025-01-15 18:08:00,238.0012,238.2500,238.0000,238.2500,123
AAPL,2025-01-15 18:07:00,238.0000,238.2590,238.0000,238.1550,18
AAPL,2025-01-15 18:06:00,238.1550,238.3100,238.0000,238.3100,34
AAPL,2025-01-15 18:05:00,238.2400,238.3100,238.0500,238.2500,34
AAPL,2025-01-15 18:04:00,238.1300,238.3100,238.0000,238.1300,2036
AAPL,2025-01-15 18:03:00,238.1300,238.2600,238.1300,238.1300,242
AAPL,2025-01-15 18:02:00,238.1000,238.2600,238.0000,238.1000,64
AAPL,2025-01-15 18:01:00,238.2535,238.2600,238.0000,238.1300,322
AAPL,2025-01-15 18:00:00,238.2500,238.2599,238.0000,238.0112,1567
AAPL,2025-01-15 17:59:00,238.1550,238.2600,238.0500,238.2600,143
AAPL,2025-01-15 17:58:00,238.2548,238.2600,238.0500,238.1000,438
AAPL,2025-01-15 17:57:00,237.8700,238.2600,237.8700,238.1600,1892
AAPL,2025-01-15 17:56:00,238.1550,238.2600,238.0500,238.1600,88
AAPL,2025-01-15 17:55:00,238.1900,238.2000,238.0500,238.0500,392
AAPL,2025-01-15 17:54:00,238.1000,238.2000,238.0500,238.2000,380
AAPL,2025-01-15 17:53:00,238.0750,238.1000,238.0000,238.1000,56
AAPL,2025-01-15 17:52:00,238.1000,238.1500,238.0000,238.0750,31
AAPL,2025-01-15 17:51:00,238.1497,238.1500,238.0000,238.0000,88
AAPL,2025-01-15 17:50:00,238.0750,238.1500,238.0000,238.1000,54
AAPL,2025-01-15 17:49:00,238.0750,238.1500,238.0000,238.0750,17
AAPL,2025-01-15 17:48:00,238.0750,238.1500,238.0037,238.0900,119
AAPL,2025-01-15 17:47:00,238.0900,238.1500,238.0000,238.1500,29
AAPL,2025-01-15 17:46:00,238.1000,238.2000,238.0319,238.1450,251
AAPL,2025-01-15 17:45:00,238.2100,238.2350,238.1000,238.1400,406
AAPL,2025-01-15 17:44:00,238.2600,238.2600,238.2100,238.2500,274
AAPL,2025-01-15 17:43:00,238.2600,238.2700,238.2100,238.2350,48
AAPL,2025-01-15 17:42:00,238.2200,238.2600,238.2100,238.2500,21
AAPL,2025-01-15 17:41:00,238.2500,238.3100,238.2100,238.2100,341
AAPL,2025-01-15 17:40:00,238.2100,238.3200,238.2100,238.2700,187
AAPL,2025-01-15 17:39:00,238.2200,238.3500,238.2100,238.2650,246
AAPL,2025-01-15 17:38:00,238.2850,238.3400,238.2200,238.2200,21
AAPL,2025-01-15 17:37:00,238.3500,238.3600,238.2200,238.3000,219
AAPL,2025-01-15 17:36:00,238.3200,238.3600,238.2900,238.3600,137
AAPL,2025-01-15 17:35:00,238.3600,238.3600,238.2200,238.3200,49
AAPL,2025-01-15 17:34:00,238.3565,238.3565,238.2200,238.3500,572
AAPL,2025-01-15 17:33:00,238.3100,238.3600,238.2200,238.2900,177
AAPL,2025-01-15 17:32:00,238.3400,238.3500,238.2850,238.2900,177
AAPL,2025-01-15 17:31:00,238.3400,238.3500,238.2200,238.2200,150
AAPL,2025-01-15 17:30:00,238.2200,238.3400,238.2200,238.3400,224
AAPL,2025-01-15 17:29:00,238.2800,238.3600,238.2800,238.2850,657
AAPL,2025-01-15 17:28:00,238.2818,238.3500,238.2800,238.3200,575
AAPL,2025-01-15 17:27:00,238.3250,238.3700,238.2800,238.3200,62
AAPL,2025-01-15 17:26:00,238.2520,238.3700,238.2200,238.3500,378
AAPL,2025-01-15 17:25:00,238.2900,238.3400,237.8700,238.2600,4374
AAPL,2025-01-15 17:24:00,238.2750,238.4000,238.2200,238.2950,894
AAPL,2025-01-15 17:23:00,238.3300,258.8650,238.2200,238.2750,133
AAPL,2025-01-15 17:22:00,238.2700,238.3300,238.2500,238.3000,1185
AAPL,2025-01-15 17:21:00,238.2483,238.2700,238.1800,238.2700,1154
AAPL,2025-01-15 17:20:00,238.2400,238.2500,238.1800,238.2100,618
AAPL,2025-01-15 17:19:00,238.2400,238.2400,238.1800,238.2150,271
AAPL,2025-01-15 17:18:00,238.1815,238.2400,238.1800,238.2100,141
AAPL,2025-01-15 17:17:00,238.1800,238.2400,238.1600,238.2100,1237
AAPL,2025-01-15 17:16:00,238.1900,238.2000,238.1700,238.1800,552
AAPL,2025-01-15 17:15:00,238.1700,238.1900,238.1600,238.1800,364
AAPL,2025-01-15 17:14:00,238.1900,238.1900,238.1500,238.1700,299
AAPL,2025-01-15 17:13:00,238.2187,238.2187,238.1400,238.1800,70
AAPL,2025-01-15 17:12:00,238.1700,238.2400,238.1000,238.2300,106
AAPL,2025-01-15 17:11:00,238.1000,238.2400,238.1000,238.1700,286
