Symbol_x,DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Hist,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment,Symbol_y
AAPL,2024-10-14 04:00:00,227.2497,228.1487,227.0998,227.8490,8199,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:01:00,227.8590,228.0088,227.6093,227.7192,2319,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:02:00,227.7192,227.8690,227.4694,227.5394,558,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:03:00,227.5394,227.8590,227.5094,227.5793,1106,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:04:00,227.5793,227.8590,227.5793,227.6193,599,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:05:00,227.5993,227.7292,227.5993,227.7292,294,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:06:00,227.6992,227.7292,227.6193,227.7092,498,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:07:00,227.7092,227.8590,227.6792,227.8590,757,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:08:00,227.8590,227.8590,227.7491,227.7491,303,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:09:00,227.7192,227.7391,227.6992,227.7192,84,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:10:00,227.7192,227.7192,227.6492,227.7192,688,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:11:00,227.6293,227.7192,227.6293,227.7192,28,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:12:00,227.7092,227.7192,227.6093,227.7092,18,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:13:00,227.6093,227.6892,227.5593,227.6492,349,,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:14:00,227.5693,227.6492,227.5593,227.5593,387,35.0515,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:15:00,227.5593,227.5893,227.4994,227.5593,986,35.0515,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:16:00,227.4794,227.5593,227.4594,227.5394,215,34.2329,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:17:00,227.5494,227.6193,227.5494,227.5494,140,35.0497,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:18:00,227.5693,227.6393,227.5494,227.5593,309,35.9069,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:19:00,227.5593,227.6293,227.5593,227.5593,5,35.9069,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:20:00,227.6293,227.6792,227.5693,227.5993,130,39.6047,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:21:00,227.6093,227.8990,227.6093,227.8990,3279,58.8023,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:22:00,227.8490,227.9289,227.8490,227.9090,445,59.2671,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:23:00,227.9289,227.9989,227.8091,227.8091,1131,52.8464,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:24:00,227.9289,228.0388,227.8590,227.9989,847,61.4023,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:25:00,227.9489,227.9989,227.9489,227.9889,126,60.7773,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:26:00,227.9889,227.9889,227.8191,227.8191,41,51.2297,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:27:00,227.9889,228.0488,227.9889,227.9989,724,58.6386,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:28:00,228.0188,228.1487,227.9889,228.0987,2430,62.0847,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:29:00,228.0987,228.1187,228.0987,228.0987,18,62.0847,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:30:00,227.9889,228.0987,227.8990,228.0388,253,58.6825,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:31:00,227.8990,227.9090,227.6792,227.7591,1697,46.0110,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:32:00,227.6792,227.8490,227.5793,227.5793,63,40.0272,,,,,,,,,,,,,,,,,
AAPL,2024-10-14 04:33:00,227.5893,227.7391,227.5893,227.5893,6,40.4902,0.0166,0.0424,-0.0258,,,,,,,,,,,,,,
AAPL,2024-10-14 04:34:00,227.7092,227.8490,227.7092,227.7491,606,47.4775,0.0122,0.0364,-0.0242,,,,,,,,,,,,,,
AAPL,2024-10-14 04:35:00,227.7491,227.8390,227.7491,227.8390,51,50.9652,0.0158,0.0323,-0.0165,,,,,,,,,,,,,,
AAPL,2024-10-14 04:36:00,227.8290,227.8290,227.8191,227.8191,7,50.1679,0.0168,0.0292,-0.0124,,,,,,,,,,,,,,
AAPL,2024-10-14 04:37:00,227.8191,227.8191,227.7491,227.7591,11,47.7545,0.0127,0.0259,-0.0132,,,,,,,,,,,,,,
AAPL,2024-10-14 04:38:00,227.7591,227.8790,227.7591,227.8490,425,51.5218,0.0164,0.0240,-0.0076,,,,,,,,,,,,,,
AAPL,2024-10-14 04:39:00,227.8091,227.8490,227.7991,227.8191,223,50.2218,0.0168,0.0225,-0.0057,,,,,,,,,,,,,,
