title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment,Symbol
Time to Buy the Post-Earnings Rally in Spotify  ( SPOT )  Stock?,https://www.zacks.com/commentary/2370675/time-to-buy-the-post-earnings-rally-in-spotify-spot-stock,2024-11-14 22:21:00,['Shaun Pruitt'],"Able to appease investor sentiment toward its compelling growth narrative, Spotify Technology (SPOT) shares have rallied more than +15% since reporting Q3 results on Tuesday.",https://staticx-tuner.zacks.com/images/articles/charts/66/84446.jpg?v=647947764,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.988915'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]",0.267877,Somewhat-Bullish,"[{'ticker': 'SPOT', 'relevance_score': '0.691734', 'ticker_sentiment_score': '0.469921', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.090134', 'ticker_sentiment_score': '0.072946', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Warren Buffett's Berkshire Hathaway Slashes Apple, BofA Holdings, Adds Domino's Pizza In Q3 - Apple  ( NASDAQ:AAPL ) , Bank of America  ( NYSE:BAC ) ",https://www.benzinga.com/markets/equities/24/11/41993666/warren-buffetts-berkshire-hathaway-slashes-apple-bofa-holdings-adds-dominos-pizza-in-q3,2024-11-14 22:20:07,['Hayden Buckfire'],"Billionaire investor Warren Buffett cut several of Berkshire Hathaway Inc's BRK BRK largest holdings this year. The Omaha, Nebraska-based holding company's latest 13F filing shows that the sell-off trend continues.",https://cdn.benzinga.com/files/images/story/2024/11/14/What-Happened_0.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.125523,Neutral,"[{'ticker': 'DMPZF', 'relevance_score': '0.109956', 'ticker_sentiment_score': '0.23222', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.321673', 'ticker_sentiment_score': '0.00477', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ULTA', 'relevance_score': '0.217834', 'ticker_sentiment_score': '0.120935', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.321673', 'ticker_sentiment_score': '-0.150775', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'BRK-A', 'relevance_score': '0.109956', 'ticker_sentiment_score': '-0.142577', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DPZ', 'relevance_score': '0.217834', 'ticker_sentiment_score': '0.343515', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
Pennsylvania Introduces Bitcoin Strategic Reserve Act To Invest Up To $700 Million In BTC,https://www.benzinga.com/markets/cryptocurrency/24/11/41986427/pennsylvania-introduces-bitcoin-strategic-reserve-act-to-invest-up-to-700-million-in-btc,2024-11-14 19:52:21,['Murtuza Merchant'],"President-elect Donald Trump's proposal to establish a national Bitcoin BTC/USD reserve has sparked a wave of support across the United States, with Pennsylvania leading the charge by considering its own state-held cryptocurrency reserve.",https://cdn.benzinga.com/files/images/story/2024/11/14/cannabis-Pennsylvania-Kindel-Media-by-Pi.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.576289'}]",0.344111,Somewhat-Bullish,"[{'ticker': 'GOOG', 'relevance_score': '0.066047', 'ticker_sentiment_score': '0.145323', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.131643', 'ticker_sentiment_score': '0.17172', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.131643', 'ticker_sentiment_score': '0.17172', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.841117', 'ticker_sentiment_score': '0.522123', 'ticker_sentiment_label': 'Bullish'}]",AAPL
Meta Hit With $841 Million EU Fine Over Antitrust Violations Tied To Facebook Marketplace - Meta Platforms  ( NASDAQ:META ) ,https://www.benzinga.com/government/regulations/24/11/41981957/meta-hit-with-841-million-eu-fine-over-antitrust-violations-tied-to-facebook-marketplace,2024-11-14 17:32:59,['Anusuya Lahiri'],The European Commission has penalized a $841 million ( 797.72 million euros ) fine to Meta Platforms Inc META for violating EU antitrust laws.,https://cdn.benzinga.com/files/images/story/2024/11/14/Wooden-Gavel-With-Usa-Dollar-On-Desk--Cl.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",-0.048811,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.124809', 'ticker_sentiment_score': '-0.211636', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'GOOG', 'relevance_score': '0.246582', 'ticker_sentiment_score': '0.001946', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.654016', 'ticker_sentiment_score': '-0.32437', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AAPL', 'relevance_score': '0.246582', 'ticker_sentiment_score': '-0.159414', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'INTC', 'relevance_score': '0.124809', 'ticker_sentiment_score': '0.298707', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
"ASML Projects Revenue Surge to $63 Billion by 2030, Eyes AI and Chip Market Boom - ASML Holding  ( NASDAQ:ASML ) ",https://www.benzinga.com/tech/24/11/41978712/asml-projects-revenue-surge-to-63-billion-by-2030-eyes-ai-and-chip-market-boom,2024-11-14 16:09:56,['Anusuya Lahiri'],"ASML Holding NV ASML shared its strategic roadmap during the 2024 Investor Day, highlighting key growth drivers and market expectations through the decade's end.",https://cdn.benzinga.com/files/images/story/2024/11/14/ASML-EUV-Machine-Company.png?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.248696,Somewhat-Bullish,"[{'ticker': 'NVDA', 'relevance_score': '0.165598', 'ticker_sentiment_score': '0.055187', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.165598', 'ticker_sentiment_score': '0.055187', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ASML', 'relevance_score': '0.653175', 'ticker_sentiment_score': '0.383614', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TSM', 'relevance_score': '0.165598', 'ticker_sentiment_score': '0.055187', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:AMD', 'relevance_score': '0.083251', 'ticker_sentiment_score': '0.118677', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Performance Comparison: Apple And Competitors In Technology Hardware, Storage & Peripherals Industry - Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/insights/news/24/11/41975753/performance-comparison-apple-and-competitors-in-technology-hardware-storage-amp-peripherals-industr,2024-11-14 15:00:30,['Benzinga Insights'],"In the dynamic and cutthroat world of business, conducting thorough company analysis is essential for investors and industry experts. In this article, we will undertake a comprehensive industry comparison, evaluating Apple AAPL and its primary competitors in the Technology Hardware, Storage & ...",https://www.benzinga.com/files/images/story/2024/1731596427_0.png,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.95493'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.623304'}]",0.236799,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.522622', 'ticker_sentiment_score': '0.305168', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
Billionaire Investor Warren Buffett Sold Apple Shares for a Fourth Straight Quarter. Should Investors Be Worried?,https://www.fool.com/investing/2024/11/14/warren-buffett-sold-apple-shares-for-a-fourth/,2024-11-14 14:15:00,['David Jagielski'],"Although Buffett has been selling Apple stock, it has continued to rise in value this year.",https://g.foolcdn.com/editorial/images/797244/people-using-their-cell-phones.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.998356'}]",0.212593,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.793786', 'ticker_sentiment_score': '0.355549', 'ticker_sentiment_label': 'Bullish'}]",AAPL
"TSMC's $65B Investment In US Will Help Avoid Trade Imbalance, Says Taiwan Central Bank Governor As Trump Returns To White House - NVIDIA  ( NASDAQ:NVDA ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/news/global/24/11/41972365/tsmcs-65b-investment-in-us-will-help-avoid-trade-imbalance-says-taiwan-central-bank-governor-as-trump,2024-11-14 13:54:56,['Pooja Rajkumari'],"Amid concerns over potential trade penalties from the U.S., Yang Chin-long, the governor of Taiwan's central bank, has voiced optimism for Taiwan Semiconductor Manufacturing Co.'s TSM upcoming $65 billion investment in U.S. factories.",https://cdn.benzinga.com/files/images/story/2024/11/14/TSMC--Photo-by-Sundry-Photography-on-Shu.jpeg?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.055196,Neutral,"[{'ticker': 'NVDA', 'relevance_score': '0.229149', 'ticker_sentiment_score': '-0.034264', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SSTK', 'relevance_score': '0.115787', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.229149', 'ticker_sentiment_score': '-0.034264', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSM', 'relevance_score': '0.229149', 'ticker_sentiment_score': '0.076873', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Crypto Surge And AI Demand Highlight Potential Opportunity In Direxion's 2X Uranium ETF - Apple  ( NASDAQ:AAPL ) , Cameco  ( NYSE:CCJ ) ",https://www.benzinga.com/trading-ideas/long-ideas/24/11/41967351/crypto-surge-and-ai-demand-highlight-potential-opportunity-in-direxions-2x-uranium-etf,2024-11-14 11:57:05,['Joshenomoto@benzinga.com'],"Following the election of Donald J. Trump to a second non-consecutive term, global capital markets have generally responded well to the news. However, one of the strongest beneficiaries of this electoral boost has been the cryptocurrency sector.",https://editorial-assets.benzinga.com/wp-content/uploads/2024/11/14065652/image.jpeg,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.967321'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Blockchain', 'relevance_score': '0.576289'}]",0.242436,Somewhat-Bullish,"[{'ticker': 'NVDA', 'relevance_score': '0.124164', 'ticker_sentiment_score': '0.03723', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.124164', 'ticker_sentiment_score': '0.03723', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CCJ', 'relevance_score': '0.124164', 'ticker_sentiment_score': '0.161477', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
Should iShares Russell 1000 ETF  ( IWB )  Be on Your Investing Radar?,https://www.zacks.com/stock/news/2370122/should-ishares-russell-1000-etf-iwb-be-on-your-investing-radar,2024-11-14 11:20:07,['Zacks Equity Research'],Style Box ETF report for ...,https://staticx-tuner.zacks.com/images/default_article_images/default79.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.15243,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.130217', 'ticker_sentiment_score': '0.070327', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.130217', 'ticker_sentiment_score': '0.070327', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.130217', 'ticker_sentiment_score': '0.070327', 'ticker_sentiment_label': 'Neutral'}]",AAPL
